epoch	loss	cls_acc	pred_pos_rate
1	0.809337	0.443972	0.714842
2	0.803592	0.455898	0.700319
3	0.798126	0.472547	0.682489
4	0.792940	0.488842	0.661471
5	0.788030	0.509860	0.639036
6	0.783393	0.524029	0.611642
7	0.779020	0.536545	0.587318
8	0.774897	0.547644	0.558980
9	0.771012	0.564766	0.530287
10	0.767353	0.582713	0.497461
11	0.763900	0.593577	0.470303
12	0.760641	0.600543	0.455544
13	0.757555	0.609871	0.439367
14	0.754627	0.616956	0.431574
15	0.751840	0.623568	0.425434
16	0.749178	0.627701	0.420357
17	0.746626	0.633959	0.416224
18	0.744174	0.637738	0.413862
19	0.741807	0.641988	0.411973
20	0.739518	0.645413	0.410910
21	0.737298	0.649427	0.412091
22	0.735138	0.652734	0.412091
23	0.733031	0.654977	0.413154
24	0.730973	0.658755	0.414335
25	0.728957	0.660999	0.418231
26	0.726978	0.663124	0.419648
27	0.725032	0.665250	0.421537
28	0.723118	0.667021	0.422364
29	0.721232	0.669855	0.424489
30	0.719371	0.671980	0.426851
31	0.717535	0.672452	0.428740
32	0.715723	0.672452	0.431102
33	0.713933	0.674932	0.433817
34	0.712166	0.676467	0.436297
35	0.710418	0.677766	0.438541
36	0.708691	0.679655	0.439013
37	0.706984	0.681190	0.440548
38	0.705298	0.681072	0.442083
39	0.703634	0.681072	0.443736
40	0.701991	0.682371	0.445743
41	0.700369	0.683552	0.445979
42	0.698767	0.684024	0.447160
43	0.697187	0.684024	0.446924
44	0.695628	0.686268	0.447042
45	0.694094	0.687921	0.447042
46	0.692582	0.689101	0.447987
47	0.691092	0.690755	0.448695
48	0.689624	0.690991	0.448695
49	0.688179	0.692762	0.448105
50	0.686756	0.693588	0.448223
51	0.685356	0.694061	0.447278
52	0.683979	0.694651	0.446688
53	0.682628	0.695478	0.445861
54	0.681301	0.696422	0.445625
55	0.679998	0.697367	0.445153
56	0.678720	0.698548	0.445153
57	0.677467	0.698312	0.444208
58	0.676239	0.699847	0.444326
59	0.675037	0.700083	0.443618
60	0.673860	0.699728	0.442791
61	0.672709	0.700673	0.441847
62	0.671587	0.700909	0.441138
63	0.670492	0.701736	0.440548
64	0.669426	0.702326	0.440430
65	0.668391	0.701972	0.440312
66	0.667385	0.701736	0.440076
67	0.666407	0.701854	0.440194
68	0.665456	0.702090	0.439721
69	0.664536	0.702917	0.439839
70	0.663645	0.704333	0.438186
71	0.662781	0.704452	0.437124
72	0.661947	0.704688	0.437124
73	0.661142	0.704688	0.436887
74	0.660366	0.704806	0.436297
75	0.659616	0.704688	0.436415
76	0.658893	0.704333	0.436769
77	0.658196	0.704215	0.436651
78	0.657524	0.705278	0.437006
79	0.656876	0.705278	0.437006
80	0.656251	0.705514	0.437714
81	0.655648	0.705750	0.437714
82	0.655068	0.705987	0.437714
83	0.654509	0.705987	0.437950
84	0.653970	0.705868	0.438304
85	0.653453	0.706695	0.439367
86	0.652955	0.707285	0.440666
87	0.652474	0.707285	0.441374
88	0.652011	0.707640	0.441729
89	0.651563	0.707758	0.442319
90	0.651131	0.707640	0.442437
91	0.650713	0.708230	0.442319
92	0.650310	0.708820	0.442201
93	0.649920	0.709175	0.442319
94	0.649542	0.709411	0.442319
95	0.649178	0.709529	0.442673
96	0.648825	0.709411	0.442555
97	0.648481	0.709529	0.443146
98	0.648147	0.709765	0.443382
99	0.647821	0.709765	0.443382
100	0.647505	0.710001	0.443618
101	0.647196	0.710237	0.443618
102	0.646895	0.710237	0.443854
103	0.646600	0.710001	0.443854
104	0.646310	0.710001	0.444090
105	0.646026	0.710237	0.444326
106	0.645748	0.709411	0.444444
107	0.645476	0.709647	0.444444
108	0.645211	0.710001	0.444326
109	0.644952	0.710237	0.444326
110	0.644699	0.710119	0.444444
111	0.644448	0.710119	0.444444
112	0.644202	0.710473	0.444563
113	0.643961	0.710473	0.444799
114	0.643724	0.710592	0.445153
115	0.643490	0.710710	0.445035
116	0.643259	0.710946	0.445271
117	0.643031	0.711418	0.445743
118	0.642807	0.711536	0.446334
119	0.642584	0.711772	0.446570
120	0.642363	0.712245	0.446806
121	0.642144	0.712363	0.446688
122	0.641927	0.712599	0.446924
123	0.641712	0.712363	0.446688
124	0.641499	0.712008	0.446806
125	0.641287	0.712245	0.447042
126	0.641076	0.712953	0.446806
127	0.640867	0.712481	0.446806
128	0.640660	0.712717	0.447278
129	0.640455	0.712599	0.447160
130	0.640251	0.712363	0.447633
131	0.640048	0.712363	0.447633
132	0.639845	0.712481	0.448223
133	0.639644	0.712717	0.448223
134	0.639444	0.712717	0.447987
135	0.639245	0.712835	0.447869
136	0.639047	0.712953	0.447751
137	0.638851	0.713189	0.447514
138	0.638657	0.714016	0.447396
139	0.638465	0.714370	0.447514
140	0.638272	0.714488	0.447633
141	0.638081	0.714606	0.447514
142	0.637890	0.714842	0.447514
143	0.637700	0.714960	0.447396
144	0.637512	0.714724	0.447869
145	0.637326	0.715197	0.448105
146	0.637141	0.715079	0.447987
147	0.636958	0.715315	0.447987
148	0.636775	0.715079	0.448459
149	0.636595	0.715197	0.448813
150	0.636417	0.715079	0.448931
151	0.636240	0.715079	0.448931
152	0.636065	0.715433	0.449049
153	0.635891	0.715905	0.449522
154	0.635717	0.715787	0.449640
155	0.635543	0.715433	0.449758
156	0.635369	0.715551	0.450112
157	0.635196	0.715433	0.450230
158	0.635024	0.715315	0.450112
159	0.634853	0.715433	0.450230
160	0.634682	0.715433	0.450230
161	0.634511	0.715551	0.450112
162	0.634341	0.715787	0.450348
163	0.634172	0.715905	0.450466
164	0.634002	0.716141	0.450466
165	0.633833	0.716023	0.450348
166	0.633663	0.715905	0.450703
167	0.633494	0.716023	0.451057
168	0.633326	0.716495	0.450584
169	0.633157	0.716732	0.450348
170	0.632988	0.716495	0.450584
171	0.632818	0.716732	0.450348
172	0.632647	0.716968	0.450112
173	0.632478	0.716614	0.450466
174	0.632309	0.716732	0.450584
175	0.632141	0.716732	0.450821
176	0.631973	0.716495	0.450584
177	0.631804	0.716732	0.451057
178	0.631637	0.716968	0.451057
179	0.631470	0.717322	0.451411
180	0.631304	0.717794	0.451647
181	0.631138	0.718267	0.451883
182	0.630970	0.718267	0.451883
183	0.630803	0.718503	0.451883
184	0.630636	0.718621	0.452001
185	0.630469	0.718503	0.451883
186	0.630303	0.718621	0.452001
187	0.630135	0.718621	0.452238
188	0.629967	0.718621	0.452474
189	0.629799	0.718975	0.452592
190	0.629631	0.718857	0.452710
191	0.629463	0.718975	0.453064
192	0.629294	0.719093	0.452946
193	0.629125	0.718857	0.453182
194	0.628955	0.719329	0.453418
195	0.628786	0.719684	0.453300
196	0.628615	0.720038	0.453182
197	0.628444	0.720392	0.453773
198	0.628274	0.720510	0.453891
199	0.628102	0.720392	0.454245
200	0.627931	0.720510	0.454363
